"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"809",573668,"Juan Minaya","809","100.00","0.239","0.189","0.304","0.428","0.336","0.312","0.225","38","159","78.8","22.7","2297","90.7","91.13","102","378","426","0.4","6.52","113","151","112","146","296","309","292"
"805",501925,"Joe Smith","805","100.00","0.229","0.104","0.331","0.333","0.265","0.241","0.202","46","201","79.5","12.5","2117","86.2","86.41","101","398","399","0.2","6.61","108","151","111","147","296","319","294"
"804",548357,"Christian Bergman","804","100.00","0.295","0.208","0.301","0.502","0.362","0.384","0.310","61","207","83.1","19.4","2093","85.4","83.65","64","390","406","-1.8","5.35","107","154","112","149","289","317","292"
"803",622097,"Jake Thompson","803","100.00","0.276","0.215","0.295","0.492","0.371","0.366","0.269","50","181","81.2","15.0","2061","88.4","87.99","66","341","456","-0.4","6.13","109","150","110","148","292","317","288"
"801",518716,"Dillon Gee","801","100.00","0.283","0.194","0.319","0.476","0.355","0.324","0.246","54","191","81.4","16.4","2304","86.6","86.16","90","388","408","-0.4","6.02","109","149","115","147","295","319","291"
"800",276351,"Jason Grilli","800","100.00","0.279","0.297","0.324","0.576","0.394","0.361","0.270","46","165","79.3","26.1","2455","88.6","88.09","100","388","411","-0.5","6.09","110","151","113","147","299","324","295"
"799",456696,"David Hernandez","799","100.00","0.239","0.100","0.299","0.338","0.268","0.273","0.224","48","201","82.3","16.5","2305","89.2","88.42","108","409","389","-0.8","5.88","111","154","108","149","300","324","300"
"795",605154,"John Brebbia","795","100.00","0.193","0.193","0.218","0.385","0.277","0.292","0.224","37","192","82.2","25.2","2368","89.3","89.65","105","388","387","0.4","6.48","113","146","110","146","289","314","297"
"790",448281,"Sean Doolittle","790","100.00","0.185","0.109","0.242","0.293","0.228","0.217","0.174","34","184","77.4","31.5","2214","93.3","93.26","135","471","313","0.0","6.29","108","151","113","147","297","318","292"
"781",623352,"Josh Hader","781","100.00","0.156","0.125","0.236","0.281","0.255","0.247","0.154","25","160","77.4","25.0","2084","92.1","92.79","143","383","389","0.7","6.73","110","152","115","150","302","312","288"
